Name,PowerState,VMHost
PHXFOX11,PoweredOn,phxesx19.healthchoiceaz.local
PHXFOX14,PoweredOn,phxesx19.healthchoiceaz.local
PHXFOX27,PoweredOn,phxesx19.healthchoiceaz.local
PHXHVCOMP01V,PoweredOn,phxesx19.healthchoiceaz.local
PHXJAMSP01,PoweredOn,phxesx19.healthchoiceaz.local
PHXKMS01,PoweredOn,phxesx19.healthchoiceaz.local
PHXPD01,PoweredOn,phxesx19.healthchoiceaz.local
PHXPQA03,PoweredOn,phxesx19.healthchoiceaz.local
PHXRIGHTFAXDT01,PoweredOn,phxesx19.healthchoiceaz.local
PHXUMBSYNC01,PoweredOn,phxesx19.healthchoiceaz.local
PHXVCENTERPSC01,PoweredOn,phxesx19.healthchoiceaz.local
SOLAR-PERFMON,PoweredOn,phxesx19.healthchoiceaz.local
WEBINTRANET03,PoweredOn,phxesx19.healthchoiceaz.local
DWPROD01,PoweredOn,phxesx20.healthchoiceaz.local
HHSQL01,PoweredOn,phxesx20.healthchoiceaz.local
PHXFOX29,PoweredOn,phxesx20.healthchoiceaz.local
PHXJAMS02,PoweredOn,phxesx20.healthchoiceaz.local
OmniStackVC-10-154-25-101,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-BLUE-002,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-BLUE2-016,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-BLUE2-025,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-BLUE2-071,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-BLUE2-074,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-BLUE2-117,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-BLUE2-204,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-BLUE2-217,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-CLA-116,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-CMA-029,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-FT-001,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-FT-003,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-FT-006,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-FT-013,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-FT-015,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-FT-018,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-FT-021,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-IS-004,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-IS-007,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-IS-009,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-IS-050,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-IS-062,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-MBS-043,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-MBS-061,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-MBS-113,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-MBS-138,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-MBS-140,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-MBS-145,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-MBS-181,PoweredOn,phxesxsvt01.healthchoiceaz.local
VDI-PDM2-009,PoweredOn,phxesxsvt01.healthchoiceaz.local
OmniStackVC-10-154-25-102,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-CLA-002,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-CLA-024,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-CLA-053,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-CLA-063,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-CLA-071,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-CLA-094,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-FIN-011,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-HSM-002,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-024,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-039,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-045,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-047,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-055,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-057,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-088,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-102,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-129,PoweredOn,phxesxsvt02.healthchoiceaz.local
